,preference,property_type,city,transact_type,owntype,bedroom_num,price_per_unit_area,furnish,facing,age,total_floor,features,prop_name,price_sqft,amenities,area,price,prop_heading,secondary_tags,total_landmark_count,society_name,building_name,location,balcony_num,floor_num,carpet_sqft,superbuiltup_sqft,builtup_sqft,super_sqft,location.1,hospitals,schools,metro_stations,connectivity,parking,shopping,pharmacy,miscellaneous,club,railwaystation,metrostation,airport,busdepot,bank,attraction,park,officecomplex,education,amusementpark,golfcourse,busstop,library,hospital,atm,stadium,religiousplace,hotel
0,S,Residential Apartment,Kolkata South,2.0,1,2.0,3662.0,0,0,5,3.0,N,Srijan Star Swapno Puron,3662.0,"5,17,20,21,23,24,6,19,101,102",518-623  sq.ft.,19.1 L Onwards,2 BHK Flat in Amtala,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",2.0,Srijan Star Swapno Puron,Srijan Star Swapno Puron,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '8005', 'LOCALITY_NAME': 'Amtala ', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.364447, 88.274642)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,S,Residential Apartment,Kolkata South,2.0,1,3.0,10500.0,0,0,5,11.0,N,Natural Quest,10500.0,"5,17,20,21,23,24,6,19,101,102",1110-1121  sq.ft.,1.17  - 1.18 Cr,3 BHK Flat in EM Bypass,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",9.0,Natural Quest,Natural Quest,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '603', 'LOCALITY_NAME': 'EM Bypass', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.518795, 88.388439)",16,11,4,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,S,Residential Apartment,Kolkata South,2.0,1,3.0,8900.0,0,0,5,20.0,N,Ganguly 4Sight Eminence,8900.0,"5,17,20,21,23,24,6,19,101,102",1376-1516  sq.ft.,1.22  - 1.35 Cr,3 BHK Flat in Garia,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",6.0,Ganguly 4Sight Eminence,Ganguly 4Sight Eminence,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '651', 'LOCALITY_NAME': 'Garia', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.5137646, 88.3666797)",35,31,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,S,Residential Land,Kolkata South,2.0,1,3.0,208.0,0,0,0,0.0,N,Dev Bhumi,208.0,"5,17,20,21,23,24,6,19,101,102",720-2880  sq.ft.,1.5  - 5.99 L,Residential land / Plot in Joka,"['READY TO MOVE', 'NEW BOOKING']",13.0,Dev Bhumi,Dev Bhumi,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '844', 'LOCALITY_NAME': 'Joka', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.45383, 88.249572)",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,S,Residential Apartment,Kolkata South,2.0,1,3.0,5215.0,0,0,5,19.0,N,DTC Sojon,5215.0,"5,17,20,21,23,24,6,19,101,102",1130-1460  sq.ft.,60  - 75 L,3 BHK Flat in Joka,"['UNDER CONSTRUCTION', 'NEW BOOKING']",11.0,DTC Sojon,DTC Sojon,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '844', 'LOCALITY_NAME': 'Joka', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.44213, 88.29551)",5,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
5,S,Residential Apartment,Kolkata South,2.0,1,2.0,5108.0,0,0,5,19.0,N,DTC Sojon,5108.0,"5,17,20,21,23,24,6,19,101,102",880-960  sq.ft.,45  - 49 L,2 BHK Flat in Joka,"['UNDER CONSTRUCTION', 'NEW BOOKING']",11.0,DTC Sojon,DTC Sojon,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '844', 'LOCALITY_NAME': 'Joka', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.44213, 88.29551)",5,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
6,S,Residential Apartment,Kolkata South,2.0,1,3.0,7048.0,0,0,5,11.0,N,The Signature,7048.0,"5,17,20,21,23,24,6,19,101,102",1289-1422  sq.ft.,90.85 L Onwards,3 BHK Flat in New Alipore,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",48.0,The Signature,The Signature,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '1465', 'LOCALITY_NAME': 'New Alipore', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.499927, 88.32487)",14,9,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
7,S,Residential Apartment,Kolkata North,2.0,1,2.0,4239.0,0,0,5,11.0,N,Bhawani Bandhan,4239.0,"5,17,20,21,23,24,6,19,101,102",920 sq.ft.,39 L,2 BHK Flat in Madhyamgram,"['UNDER CONSTRUCTION', 'NEW BOOKING', 'RERA | HIRA']",27.0,Bhawani Bandhan,Bhawani Bandhan,"{'CITY': '26', 'CITY_NAME': 'Kolkata North', 'LOCALITY_ID': '528', 'LOCALITY_NAME': 'Madhyamgram', 'ADDRESS': None}",1.0,1,900.0,920.0,1000.0,1500.0,"(22.690003, 88.45908)",6,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
8,S,Residential Apartment,Kolkata South,2.0,1,3.0,4700.0,0,0,5,5.0,N,Symphony Proxima,4700.0,"5,17,20,21,23,24,6,19,101,102",1120-1280  sq.ft.,52.64  - 60.16 L,3 BHK Flat in Kamalgazi,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",7.0,Symphony Proxima,Symphony Proxima,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '6849', 'LOCALITY_NAME': 'Kamalgazi', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.44497560154, 88.390239965808)",2,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,S,Residential Apartment,Kolkata South,2.0,1,2.0,4700.0,0,0,5,5.0,N,Symphony Proxima,4700.0,"5,17,20,21,23,24,6,19,101,102",885-890  sq.ft.,41.6  - 41.83 L,2 BHK Flat in Kamalgazi,"['UNDER CONSTRUCTION', 'NEW LAUNCH', 'NEW BOOKING', 'RERA | HIRA']",7.0,Symphony Proxima,Symphony Proxima,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '6849', 'LOCALITY_NAME': 'Kamalgazi', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.44497560154, 88.390239965808)",2,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,S,Residential Land,Kolkata South,2.0,1,3.0,250.0,0,0,0,0.0,N,Speedland Raspunja Township,250.0,"5,17,20,21,23,24,6,19,101,102",720-2160  sq.ft.,1.8  - 5.4 L,Residential land / Plot in Joka,"['READY TO MOVE', 'NEW BOOKING']",15.0,Speedland Raspunja Township,Speedland Raspunja Township,"{'CITY': '27', 'CITY_NAME': 'Kolkata South', 'LOCALITY_ID': '844', 'LOCALITY_NAME': 'Joka', 'ADDRESS': None}",1.0,1,900.0,1140.0,1000.0,1500.0,"(22.43966, 88.25569)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
